Genename	DNMT3A
GOLGB1	-0.0336916748277393
SYNE1	-0.555766726634218
INTS1	-0.361593800518504
DNM2	-0.251063134901019
STK11IP	-0.859090869037181
RNF213	0.831315210366513
FBN2	0.928706014640824
WDR81	-0.591444573546923
RSF1	0.279965310998253
DNAAF5	-0.802532065981058
NVL	0.766989581782864
ACACA	0.184896104879521
ZNF207	
ADAR	0.509476202186507
DCAF1	1.0825498655978
PLXNC1	-2.25807762659869
WDFY4	0.143247282400126
DIS3	0.648344011065893
MYCBP2	-0.240370046094305
ARFGEF2	-0.530664328483066
FRRS1	
SORT1	0.525215153577544
SUZ12	-0.0167501972369514
SCAF8	0.827547095953356
MIA2	0.008228742084323
FLII	-0.0613980757151528
ZZEF1	-1.07712888445505
SBNO1	-0.323103258888489
ADD2	-0.624086440013375
TBCD	-0.364709651743665
CUX1	-0.21944590785375
GLS	0.124444200424691
ARHGAP30	-0.0205887835182228
POLA1	-0.315273093295968
NR3C1	0.15091831133117
TBC1D9B	0.402615428606029
MDN1	0.00355786705756327
NOC2L	-0.198843743469501
CEP170	-0.294210475560488
FHIP2A	0.51001860097553
USP34	0.507457922385277
RBM26	0.410644469777753
PLCB2	0.560106661267995
UBE2O	0.540566894991874
BMS1	-0.0745784646619077
LMF2	-0.649460389394967
PREX1	0.0216545386545406
DHX16	-0.246835274972299
FANCI	0.372444590725474
NAGPA	-0.693850845428257
BAG6	-0.0289399758388216
BRD8	0.956353007575131
OXR1	-0.100216290500743
EP400	0.323422245014415
ECPAS	0.439614593488445
VPS52	-0.477206236344183
SLC12A6	-0.513361568698913
RBM6	0.0573252639393676
FTSJ3	-0.0971949900293669
KDM6A	
EFL1	0.931637197958058
SETD2	-1.09265358628626
SMARCC2	-0.0186679631831022
WDR3	0.0467538414607101
RIF1	-0.0378095560665317
LY75-CD302	0.140826912602134
SMARCA4	0.17684826690723
MDC1	-0.0583226602425084
ABCB7	0.306603626906494
KAT7	0.0855829160517226
GOLGA3	-1.07689072021677
TBRG4	-0.045351588144747
TTYH3	-0.305194991024408
PNPT1	0.198433784120909
MIDEAS	-0.525631348967504
TBC1D2B	-0.644546918736447
FANCD2	-1.41226275784939
DDX46	0.251275075342578
KCMF1	0.123720761753679
INTS3	-0.457585148187675
PRCC	0.855439633686919
PRPF38B	0.656995487392545
GFPT1	0.0913989345352112
WDR7	
CYP51A1	-0.594291421227209
DIDO1	-0.0547074877579039
WAC	-0.238794813525388
ZFC3H1	0.0579260038590876
ELMO2	0.850983535484655
ELP1	0.141019443616791
HDAC6	-0.351551363257961
MTOR	-0.830301332005983
ARMC8	-0.416259981832274
DSP	1.13758403016442
NUP160	-0.158686416108137
CXXC1	-0.222953938271384
SCYL2	1.05571831460758
SYNRG	
EXOC2	-0.0960534934660912
NOL9	0.056797123690823
RGPD3	-0.0634147253114564
YTHDF3	0.798372989440349
ABCF3	
REL	0.0101145184343813
LRP1	-0.174779052390543
RBM12B	-0.0279660699224488
CLGN	0.220312008134139
PIEZO1	-1.21219535539916
PDCD11	-0.435426088831407
GK2	0.310721615701393
AKAP13	0.257149781309762
PAPOLA	0.195696586085821
WAPL	-0.228680120454746
ROCK2	0.422492155749138
CASP1	0.29796950327086
VAV3	1.59849225454522
IWS1	-0.094178247215292
RPS6KA4	-0.166984738586644
UPF2	0.154997121448845
UBR4	-0.360050917091745
TAP2	0.436062242106201
ZNF148	0.266622452219681
TBC1D24	-0.198886452628693
SARS2	0.716325900510654
PUS7	0.710033144033911
CCDC88B	0.658827508725351
RIPK1	0.296411293077599
KIF23	
PSD4	-0.952157773598751
GALC	-1.38381071580545
C5	-0.519870361418042
SIK3	-0.407501890249201
TAF2	0.0760495654455725
SERPINE2	
TMEM209	-0.122417171697827
ATP2C1	0.350174363480009
AKAP8L	-0.0198287748273562
WDR26	-0.0289254764116251
ZNF281	-1.79361272117516
REPIN1	0.740056377626608
CTR9	-0.104045564409021
ORC4	0.704628658664791
NOLC1	0.110442007774502
SEC24B	0.315927849531382
TBL3	0.0223019398060926
CUL2	0.602077621262236
MGA	-0.184534137222257
ATAD2	-0.91326741157047
CTDP1	-0.314667631829245
NUMA1	-0.0169953574087539
USP24	0.488175405358005
PTPN23	0.552983375694182
CYFIP1	-0.417988902302753
PIK3C3	0.597808158373229
