pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Beta_strand	1	1	0	-0.268567198118793	-0.822446019804452	3860	ODC1 MT2A NEIL3 ELF3 HMGCR PRELID3B SUFU AMD1 ZFP36L2 UBE2C RBM23 CDC25B ZRANB1 PRKCQ KMT5A SDC4 LRP6 CDKN3 RAD51 UBE2J2 SPRYD3 RNF216 JAG1 CDC20 ATG4A RPAP2 CEBPB AEBP2 FBXL3 PRDM4 BCAR3 ZNF410 CCNA2 TPRN IPMK KLHL11 ZNF217 F2R PRKCD RGS3 NOVA2 MELK AURKA BMPR1A KDM4B DEPDC1 RNF8 GTF2IRD1 SNX10 CENPE ASH1L ASF1B KIF18A UBE2T TRIB1 RHPN2 SMAD1 PTPRK HECTD1 PCDH1 EREG CBLC TAB2 DCAF15 ACVR1B PRELID1 KDM4A ZUP1 PAPOLG DUSP11 ARG2 HJURP CHEK1 USP33 PLK1 PLAU CBX6 BMPR1B TYRO3 MYO10 RRN3 GRB7 CALCOCO2 ECT2 LNX2 HS3ST1 CDC34 STK17B DUSP5 CDC25C NPRL3 ARNT WEE1 TTK BUB1 ZBTB33 POLK IFNGR1 ZER1 CCPG1 CHURC1 UBE2W APPBP2 SPINT1 RPGRIP1L KLHDC2 HES1 CSNK1D NBR1 H3-3A BARD1 ALKBH6 IVNS1ABP ADAT2 UCK2 USP37 LTV1 HERPUD1 NAGS ARHGEF4 RGN RFWD3 NSD1 MAP3K2 RWDD2B MDM2 KLK6 CPA4 SNW1 PDCL TNFRSF1A RTN4R UHRF1 KDM5D RNF168 DDR1 HMGCS1 FANCM ZRANB3 MMADHC PTTG1 NUF2 MYNN GLRX2 CHD6 ORC6 ASF1A TYMS MBD4 RARA PARP4 KIFC1 HMOX1 HIF1AN CASP2 ACVR1 JAK1 FOXP4 CRIPT SLC6A9 CBX4 SHQ1 SEMA4D MAP3K5 KLHL20 ARHGAP11A TXNL4B KMT5B KLHL12 ALKBH3 SMAD5 UBE2R2 SYF2 FANCE DHX8 APP SUV39H1 RXRG KLF5 KCTD5 B3GNT2 UBE2E2 SNX14 MYRF L3MBTL2 BTBD2 TIAM1 SMAD9 OGT MAP2K7 CPEB4 ZFYVE21 USP1 NAA40 SLF2 MDM4 HDAC7 FAU MAF1 CHKA POLR2A FZR1 ALKBH1 MIS18BP1 CDON BACH1 LIN54 SMAD3 KLF4 CDC7 VHL TNK1 PRPF18 MLLT1 MET KDM5C EXO1 UTP14A TIMP2 RIOK2 PCGF6 NEO1 EP300 PREPL MRTFA GTF2H2 GRB10 FBXO11 EFNB2 NR1D1 DTX3L BAD NET1 MTERF3 ESRRA DKK1 CUL7 TNFRSF21 STXBP4 CGRRF1 YTHDF2 UBR5 SYNE4 ERRFI1 ZNHIT3 TGS1 RBM5 RAD51C POT1 POLR2L MGAT5 CTSL BRCA1 FEM1B DIXDC1 ZC3H4 SKA1 DDX52 CIZ1 TGFBR1 STAT2 SNX17 PUM3 PIAS3 MTRR MMACHC AURKAIP1 PANK3 KNL1 DCLRE1A CREBBP SQLE SDC1 NCOA2 MAP3K3 EME1 ZMYND11 TUT4 SMG9 SMAD2 RABIF PTPN3 MICU2 CDC123 CASP8AP2 UBE2B TIFA RNF146 FLYWCH1 FBXO5 BTRC AREG STK3 PDCD11 FAIM TRPT1 TIMP1 STK4 SOCS2 RNF25 POLR2D BDNF ADIPOR1 HNRNPA1 TRIM5 TGFB1 STEAP1 SRXN1 POLR3H POLR2G PDCD4 MSL2 MALSU1 GEN1 FHL3 TP53BP2 TLE1 SGO1 SCNM1 RBM7 MORF4L1 DDX59 CSPG4 SIN3B SERPINC1 RXRB PDK2 GSK3B DLG5 DLG3 SHPRH RBM22 RAB38 PDE4B MCM9 GPAM DNAJA1 CYTH2 BRCA2 ACTR8 RCHY1 PPIL2 LARP6 JMJD1C FAM3C DCUN1D4 CHD7 AMFR AKAP13 WWC1 SYNE1 RNASET2 RECQL5 MRPL35 MARF1 KDM1A EPHA1 CENPM ATAD2B TACSTD2 CDCA2 ATAD2 SNAPC3 SAV1 RPUSD4 RBM19 MED25 KDM6A KCTD9 INTS2 HDAC4 H1-4 GTF2B UBL5 RAB33B MKNK1 LDB1 FZD7 APOBEC3B XPA STK38 SRRM2 MIS18A KPNA2 CEP120 CDC40 RXRA NMNAT1 MMP14 MAP4K3 FBXO7 DNAJB6 CRNKL1 CCNH BANP ARID4B SNAPC1 SETDB1 RAVER2 PRORP PLEK2 PHF19 MMUT LIPA GRHL2 ESRP1 EMC7 EIF1AD ANGPTL4 SYTL4 PUM1 KDM3B CHAF1A ADGRF1 WRAP53 ULBP3 STK24 STAT3 POLR2H OTUD5 NOVA1 MKNK2 MFN1 MCPH1 GDAP2 FAM83B ZNF462 ZFAND3 NUS1 NUDT16 MEN1 MAST3 L3MBTL3 CSNK1E CENPJ APLP2 ZNF292 TINF2 TEPSIN PTPRB PNO1 MAD2L2 FDFT1 ATG2A ANP32E TPBG POLL OTUB2 N4BP1 MAD2L1 HLA-E CCDC88A FXR1 VRK2 UBR2 TRAPPC3 SKIL MTR IGFBP6 FOXK2 BCAR1 ZNF692 ZFP64 USP28 TRAFD1 TNRC18 POLR1A MUTYH ERF DYNLL1 DTX2 DOK1 SATB1 RFK PHF3 PEAK1 KEAP1 EIF4E2 BLM TDG RBM47 PLRG1 MNAT1 LGALS8 IK H1-3 H1-0 GTF2A2 ENPP5 CYTH1 CSNK1A1 CCNB1 CA8 BIRC2 ARL5B ZNF24 TPK1 SNAPC4 RUNX1 PI4K2B NFAT5 MCTP2 LIN37 KSR2 KLHL2 IDI1 DNMT3B APBA3 ADAM17 TLK2 TADA2A SLU7 RBM4B MCC MAPKAPK2 FIGNL1 DDA1 DBF4 CNOT6 CAPN7 YEATS2 USP30 TEC RLIM GRK6 EXTL3 EXD2 EMSY DCAF12 APC XIAP UBC SNX33 IQGAP3 EPS8 CYTH3 CDX2 VSIR TRIM41 TRAPPC4 ROGDI PPP1R10 PIK3AP1 LOXL2 IRS1 DUSP23 DNMT3A DIRAS1 CEP192 BCORL1 ADAM10 AASDHPPT PLAUR USF1 SPC25 SP140 SNRK SMG7 RC3H2 POLR3K PHF20 PARP9 KLHL7 KLF10 FZD2 CHEK2 CHD8 CENPQ ATL1 ATF2 USP46 NCK1 NAV2 MYORG KRIT1 KHDC4 IFT140 DCLRE1C CUTA TRIM24 TNKS TERF1 SPIRE1 RAD1 KITLG GRB2 FBXW11 AHR ZCCHC4 UBE2D3 TUT1 RICTOR RCC1L POP7 NSMCE1 MICAL3 LYSMD1 LARP4 KMT2A IRF2BPL ING3 GPX8 FURIN FBXO3 EIF3E CHAC2 CBX2 ANP32A UVSSA USP34 TRRAP TEAD3 SUN2 STEAP3 PTPN13 PRAG1 NIFK G3BP1 FLCN ERCC1 DOT1L DAB2 CENPP BRD1 UBE2G1 TRIM32 SMU1 RCOR3 PUM2 OTUD7B NUB1 MSL1 METTL5 KDM5A KCNN4 HUS1 F3 EIF1 EHMT1 DUS2 DGKD DAPK2 ATXN7 ZZZ3 ZCCHC17 USP8 UBXN4 SPINDOC SDCBP RC3H1 RAPGEF6 NOTCH1 KAT5 GTF2H3 BYSL BRD7 VPS4B TRMT61B TRIM28 TADA1 SYNRG SORT1 RCAN1 PRPF38A PMM1 PHC1 PDCD10 NRP1 NR1D2 LGALS3BP GOLPH3 EIF3A DSE CWC15 CUEDC1 CPSF3 CENPN BIRC6 YJU2 WRN SQSTM1 RRM2 RBMX2 RB1CC1 PDK1 NUDT4 NFATC1 GYG1 E2F4 DNTTIP1 CADPS BPTF ARID4A ARID2 ACYP1 XAB2 USP20 TUT7 TNS2 SSU72 RPS6KA3 POLR3G POLR3D NCK2 MPDZ MASTL MAPKAP1 GIGYF1 ERN1 EIF3K EHBP1 EGLN1 CRADD CNOT6L CEP350 CARD8 ARFGAP3 ANKRD27 ZNF593 WWP2 UBE2S TFB2M TDP2 TBK1 SYNE3 SLK PASK PARP14 NSMCE2 NR2C2 MED15 KAT6B INTS14 ICOSLG HLTF GIGYF2 GCH1 FOXO3 FAM20C EZH2 DDX3X CNOT11 ATG13 WDR33 VRK3 VPS72 RNASEL RBL1 PTPRE PTAR1 PSMB10 PRIM2 PFKFB1 MTERF4 IMPA2 G3BP2 EMC2 EIF4ENIF1 DLG2 DDX10 COA7 CIR1 CHD4 ATAT1 ARHGAP32 TRIM56 TFPI RBPJ PPP1R9A POLR1B NCAPG MKI67 LSM14A LAGE3 GRK5 GEMIN6 EIF3C CWC25 CDK1 ATP6V1F ASAP3 ARHGEF2 ARAP2 TOM1 TFAP2A TBC1D20 SUZ12 SAP30 RCOR1 PARP2 NRDE2 NDUFA2 MTMR6 MTMR2 MPHOSPH8 MED20 MAPK14 MAGI1 KIF13B ISY1 F8 ENTPD4 ELMO1 DIABLO CDK7 ARL6 YTHDF3 TASOR SYT1 SUPT7L SLC9A1 RMI1 RAD18 PIK3C2A PAXIP1 MICB KIN ITGA5 HTATIP2 HIRA GLCE EHMT2 CWF19L2 CNOT1 CBFB ARL2BP ANAPC7 STRIP1 SPRYD7 SASS6 RGS12 PRIM1 PPP1R15A POLR3E NR2F1 NEK1 NECAP1 MTERF1 MSL3 KCTD1 KAT8 IREB2 INTS4 HERC2 COQ8A CNOT2 CDK8 CDK2 CBX3 BRD2 AZI2 ATXN3 ASXL1 AKT1S1 WWP1 VPS33A UBE2A TSEN34 TAB1 SUOX SNRNP48 SHOC2
DOUBLE_STRANDED_DNA_BINDING	0.888256713700501	1	0.00540897016635067	-0.272266811131698	-0.677419692917831	25	RAD51 RAD51AP1
GOMF_mRNA_binding	0.745749149829966	1	0.00595949790353386	-0.308594318701253	-0.916647314148944	247	FYTTD1 ZFP36L2 NOVA2 NKAP TYMS RARA POLDIP3 ZNF385A SLBP CPEB4 QKI GNL3 DXO YTHDF2 RBM5 PUM3 KHNYN CHTOP HNRNPA1 SECISBP2 LARP6 SRRM2 CDC40 ESRP1 PUM1 NOVA1 NUDT16 ESRP2 N4BP1 FXR1 ZC3H12C LSM1 RBM47 SECISBP2L UTP23 CASC3 RC3H2 RPL26 TUT1 STAU2 LARP4 G3BP1 PUM2 RC3H1
Helix	1	1	0	-0.272496635332859	-0.834399157879654	4120	ODC1 TRAIP MT2A NEIL3 ELF3 HMGCR PRELID3B SUFU AMD1 ZFP36L2 UBE2C RBM23 CDC25B ZRANB1 RNF187 PRKCQ KMT5A PMS1 LRP6 CDKN3 RAD51 UBE2J2 SPRYD3 RNF216 JAG1 CDC20 STIL ATG4A RPAP2 CEBPB AEBP2 FBXL3 PRDM4 BCAR3 ZNF410 CCNA2 TPRN IPMK CEP55 KLHL11 ZNF217 F2R PRKCD RGS3 NOVA2 MELK AURKA BMPR1A KDM4B DEPDC1 RNF8 GTF2IRD1 SNX10 CENPE ASH1L TCF12 ASF1B KIF18A UBE2T TRIB1 TGIF1 RHPN2 SMAD1 SATB2 PTPRK HECTD1 PCDH1 EREG CBLC GMNN TAB2 DCAF15 ACVR1B PRELID1 KDM4A ZUP1 PAPOLG DUSP11 ARG2 HJURP TNIP2 FBH1 CHEK1 USP33 PLK1 PLAU CBX6 BMPR1B TYRO3 MYO10 RRN3 GRB7 CALCOCO2 ECT2 LNX2 HS3ST1 CDC34 STK17B DUSP5 CDC25C NPRL3 CDCA7L ARNT WEE1 TTK BUB1 ZBTB33 POLK IFNGR1 ZER1 NDC80 DNA2 UBE2W IFFO1 APPBP2 SPINT1 RPGRIP1L KLHDC2 HES1 SVBP CSNK1D NBR1 H3-3A BARD1 ALKBH6 REST IVNS1ABP ADAT2 UCK2 USP37 LTV1 HERPUD1 NAGS ARHGEF4 RGN NSD1 MAP3K2 CLSPN RWDD2B PCLAF MDM2 KLK6 CPA4 SNW1 PDCL TNFRSF1A RTN4R UHRF1 KDM5D RNF168 DDR1 HMGCS1 FANCM ZRANB3 MMADHC PTTG1 NUF2 MYNN GLRX2 CHD6 ORC6 ASF1A TYMS MBD4 RARA PARP4 KIFC1 HMOX1 HIF1AN CASP2 ACVR1 ACBD6 JAK1 FOXP4 CRIPT AKIRIN2 SLC6A9 CBX4 SHQ1 SEMA4D MAP3K5 ARHGAP11A TXNL4B KMT5B ALKBH3 SMAD5 UBE2R2 SYF2 FANCE DHX8 APP SUV39H1 RXRG KPNA5 KLF5 KCTD5 B3GNT2 UBE2E2 SNX14 SLBP MYRF L3MBTL2 TIAM1 SMAD9 OGT MAP2K7 CPEB4 ZFYVE21 USP1 NAA40 SLF2 MDM4 HDAC7 FAU MAF1 CHKA POLR2A FZR1 ALKBH1 NCOA3 MIS18BP1 CDON BACH1 LIN54 SMAD3 KLF4 CDC7 VHL TNK1 PRPF18 MLLT1 MET KDM5C EXO1 UTP14A TIMP2 RIOK2 PCGF6 NEO1 EP300 PREPL MRTFA GTF2H2 GRB10 FBXO11 EFNB2 TCF7L2 NR1D1 DTX3L BAD NET1 MTERF3 ESRRA DKK1 CUL7 TRAF3IP1 TNFRSF21 CGRRF1 YTHDF2 UBR5 RNF169 ERRFI1 ZNHIT3 TGS1 RBM5 RAD51C POT1 POLR2L MGAT5 CTSL BRWD1 BRCA1 FEM1B DIXDC1 APOL2 ZC3H4 SKA1 DDX52 TGFBR1 STAT2 SNX17 PUM3 PIAS3 MTRR MMACHC KHNYN AURKAIP1 PANK3 KNL1 DCLRE1A CREBBP SQLE NCOA2 MAP3K3 EME1 DCAF4 ZMYND11 TUT4 SMG9 SMAD2 RABIF PTPN3 NUFIP1 MICU2 CDC123 CASP8AP2 UBE2B TIFA SEPTIN5 RNF146 HELB FLYWCH1 FBXO5 BTRC AREG STK3 PDCD11 ANKS3 TRPT1 TIMP1 STK4 SOX9 NDE1 SOCS2 RNF25 POLR2D BDNF ADIPOR1 HNRNPA1 TRIM5 TGFB1 STEAP1 SRXN1 POLR3H POLR2G PDCD4 MSL2 MALSU1 GEN1 FHL3 TP53BP2 TLE1 SGO1 SCNM1 RBM7 MORF4L1 DDX59 CSPG4 SIN3B SERPINC1 RXRB PDK2 GSK3B DLG5 DLG3 SHPRH RBM22 RAB38 PDE4B MCM9 LATS1 GPAM GGA2 DNAJA1 CYTH2 BRCA2 ACTR8 ZYG11B RCHY1 PPIL2 LARP6 JMJD1C FAM3C DCUN1D4 CHD7 AMFR AKAP13 WWC1 UBN1 SYNE1 RNASET2 RECQL5 RBBP8 NDEL1 MRPL35 MARF1 KDM1A EPHA1 CENPM ATAD2B TACSTD2 KANSL1 ATAD2 SNAPC3 SAV1 RPUSD4 RBM19 PIAS1 MED25 KDM6A KCTD9 INTS2 HDAC4 H1-4 GTF2B AFF4 UBL5 RAB33B OIP5 MKNK1 MAML1 LDB1 FZD7 APOBEC3B XPA STK38 SRRM2 MIS18A KPNA2 CEP120 CDC40 RXRA NMNAT1 MMP14 MAP4K3 FBXO7 DNAJB6 CRNKL1 CCNH BANP ARID4B SNAPC1 SETDB1 RAVER2 PRORP PLEK2 PHF19 MMUT LIPA GRHL2 ESRP1 EMC7 EIF1AD ANGPTL4 SYTL4 SPDL1 PUM1 MYC KDM3B CHAF1A CDK2AP1 ADGRF1 WRAP53 ULBP3 STK24 STAT3 POLR2H OTUD5 NOVA1 MKNK2 MFN1 MFAP1 MCPH1 GDAP2 FAM83B ZNF462 ZFAND3 SKA2 NUS1 NUDT16 MEN1 MAST3 L3MBTL3 HDAC5 CSNK1E CENPJ APLP2 ZNF292 TINF2 TEPSIN PTPRB PNO1 MAD2L2 FDFT1 CABIN1 ANP32E TPBG POLL OTUB2 N4BP1 MAD2L1 HLA-E CCDC88A FXR1 VRK2 UBR2 TRAPPC3 SKIL MTR IGFBP6 FOXK2 CEP135 BCAR1 ZNF692 ZFP64 USP28 TRAFD1 TNRC18 POLR1A MUTYH ERF DYNLL1 DTX2 DOK1 SATB1 RFK PHF3 PEAK1 KEAP1 EIF4E2 BLM TDG RBM47 PLRG1 MNAT1 LGALS8 IK H1-3 H1-0 GTF2A2 ENPP5 CYTH1 CSNK1A1 CCNB1 CA8 BIRC2 ARL5B ZNF24 TPK1 SNAPC4 RUNX1 PI4K2B NFAT5 MCTP2 LIN37 KSR2 IDI1 DNMT3B COBL CCND3 APBA3 ADAM17 TLK2 TADA2A SLU7 RBM4B MAPKAPK2 FIGNL1 DDA1 DBF4 CNOT6 CAPN7 YEATS2 USP30 TEC SNAP29 RLIM GRK6 FTL EXTL3 EXD2 EMSY DCAF12 CASC3 APC XIAP UBC SNX33 SKA3 IQGAP3 EPS8 CYTH3 CDX2 AKAP10 VSIR TRIM41 TRAPPC4 ROGDI PPP1R10 PIK3AP1 LOXL2 IRS1 DUSP23 DNMT3A DIRAS1 CEP192 BCORL1 ADAM10 AASDHPPT PLAUR USF1 SPC25 SP140 SNRK SMG7 RC3H2 POLR3K PHF20 PARP9 KLF10 FZD2 DNAJB12 CHEK2 CHD8 CENPQ ATL1 ATF2 USP46 NFATC3 NCK1 NAV2 MYORG KRIT1 KHDC4 IFT140 DCLRE1C CUTA WDTC1 TRIM24 TNKS TERF1 SPIRE1 RAD51B RAD1 KITLG GRB2 FBXW11 AHR ZCCHC4 UBE2D3 TUT1 RICTOR RCC1L POP7 NSMCE1 MICAL3 LYSMD1 LARP4 KMT2A IRF2BPL ING3 GPX8 FURIN FBXO3 EIF3E CNOT4 CHAC2 CBX2 ANP32A UVSSA USP34 TRRAP TEAD3 SUN2 STK38L STEAP3 PTPN13 PRAG1 P4HA2 NIFK HEXIM1 GCC2 G3BP1 FLCN ERCC1 E2F2 DOT1L DAB2 CEP250 CENPP BRD1 UBE2G1 TRIM32 SMU1 RCOR3 PUM2 OTUD7B NUB1 MSL1 METTL5 KDM5A KCNN4 HUS1 F3 EIF1 EHMT1 DUS2 DGKD DAPK2 CENPU ATXN7 ZZZ3 ZCCHC17 USP8 UBXN4 SDCBP RC3H1 RAPGEF6 NOTCH1 KIF20A KAT5 GTF2H3 GPSM2 BYSL BRD7 VPS4B TRMT61B TRIM28 TADA1 SYNRG SORT1 PRPF38A PMM1 PHC1 PDCD10 NRP1 NR1D2 LGALS3BP GOLPH3 EIF3A DSE CWC15 CUEDC1 CPSF3 CENPN BIRC6 YJU2 WRN SQSTM1 RRM2 RBMX2 RB1CC1 PDK1 NUDT4 NFATC1 GYG1 GGNBP2 E2F4 DNTTIP1 CADPS BPTF ARID4A ARID2 ACYP1 XAB2 USP20 TUT7 TNS2 SSU72 RPS6KA3 POLR3G POLR3D PHC3 NCK2 MPDZ MASTL MAPKAP1 GIGYF1 ERN1 EIF3K EHBP1 EGLN1 CRTC2 CRADD CNOT6L CEP350 CARD8 BUB1B ARFGAP3 ANKRD27 ZNF593 WWP2 UBE2S TFB2M TDP2 TBK1 SLK PASK PARP14 NSMCE2 NR2C2 MED15 KAT6B INTS14 ICOSLG HLTF GIGYF2 GCH1 FOXO3 FAM20C EZH2 DDX3X CNOT11 BAZ1A ATG13 WDR33 VRK3 VPS72 RNASEL RBL1 PTPRE PTAR1 PSMB10 PRIM2 PFKFB1 OCLN MTERF4 IMPA2 G3BP2 EMC2 EIF4ENIF1 DLG2 DDX10 COA7 CHD4 ATAT1 ARHGAP32 TRIM56 TFPI RBPJ PPP1R9A POLR1B NCAPG LSM14A LAGE3 GRK5 GEMIN6 EIF3C DHX36 CWC25 CEP152 CDK1 ATP6V1F ASAP3 ARHGEF2 ARAP2 TOM1 TFAP2A TBC1D20 SUZ12 SUGP1 SLC1A3 SAP30 RCOR1 PARP2 NRDE2 NDUFA2 MTMR6 MTMR2 MPHOSPH8 MED20 MAPK14 MAGI1 KIF13B ISY1 F8 ENTPD4 ELMO1 DIABLO CDK7 ARL6 YTHDF3 TASOR SYT1 SUPT7L SLC9A1 RPRD2 RMI1 RAD21 RAD18 PIK3C2A PAXIP1 MICB KIN ITGA5 HTATIP2 HIRA GLCE EHMT2 CWF19L2 CNOT1 CBFB ARL2BP ANAPC7 STRIP1 SASS6 RGS12 PRIM1 PPP1R15A POLR3E NR2F1 NEK1 NECAP1 MTERF1 MSL3 KCTD1 KAT8 IREB2 INTS4 HERC2 COQ8A CNOT2 CHMP2B CDK8 CDK2 CBX3 BRD2 AZI2 ATXN3 ASXL1 AKT1S1 WWP1 VPS33A UBE2A TSEN34 TAB1 SUOX SNRNP48 SHOC2
Intramembrane	0.100340136054422	0.668934240362812	0.132701189890066	0.310678441167134	1.25742449404969	46	CYBA MCOLN1 ALG2 FAAH IFITM3 ALG1 TRPM4 ATAD3B RTN3
MEMBRANE_FRACTION	0.999397439116244	1	0.000715835667514819	-0.174592161191614	-0.510171062731357	142	PEX13 SPINT1 TRIM27 HMOX1 SLC6A9 CYTH2 AMFR AKAP13 CERK MAN1A1 DEGS1 BCAR1 MCTP2 PRKCE CYTH3 MTMR3 IRS1 RC3H2 MAEA
Mass_spectrometry	0.951862373737374	1	0.00331279076555023	-0.230557103559196	-0.629846253338894	52	KLK6 HIF1AN APP MDM4 SERPINC1 KPNA2
P-bodies	0.81875531968157	1	0.00481825131127252	-0.295501266978816	-0.871643451285355	190	OBI1 CDC25C TRAF3IP2 CSNK1D CNOT8 BTG3 TMEM131 TNRC6A TUT4 UTP11 RNASET2 NDEL1 MARF1 RBM19 PUM1 GTPBP4 ANKHD1 LSM1 CNOT6 CASC3 UTP18 CEP192 SMG7 RPL26 STAU2 CNOT4 TRRAP NIFK PUM2 DDX27 SQSTM1 XAB2 TTC17 CNOT6L CNOT11 WDR33 TNRC6B EIF4ENIF1 DDX10 LSM14A CNOT1 RBM28 CNOT2 PAN3 ANKRD17 N4BP2 CNOT9 BRIX1 PPP1R12A PAK4 DDX6
P-bodies_gold	0.725826747873358	1	0.00634651079200449	-0.309282111426652	-0.898805296824811	125	OBI1 TRAF3IP2 CSNK1D CNOT8 TMEM131 TNRC6A TUT4 RNASET2 MARF1 PUM1 ANKHD1 LSM1 CNOT6 CASC3 UTP18 CEP192 SMG7 STAU2 CNOT4 PUM2 TTC17 CNOT6L CNOT11 TNRC6B EIF4ENIF1 LSM14A CNOT1 CNOT2 PAN3 ANKRD17 N4BP2 CNOT9 PAK4 DDX6 FAM193A CNOT10 MEX3A SMG5 DDX50 TNKS1BP1 TDRD7 RALY DIS3L CNOT7 CEP85
RNA_granule_db	0.991150442477876	1	0.0009639412777972	-0.276833871703396	-0.841783952004793	1015	PJA2 CDC20 IPPK LZTS2 NOVA2 OBI1 DZIP3 PLK1 CDC25C TTK TRAF3IP2 PIBF1 NDC80 CSNK1D LTV1 ALMS1 RPL7L1 NUF2 TYMS CNOT8 BTG3 SURF6 SCAF1 KCTD5 SLBP OGT CPEB4 TMEM131 QKI CENPF FAU NCOA3 MGA KDM5C FBRSL1 SETX NFX1 LARP1B DTL FNDC3B DTX3L TNRC6A NOP16 MKRN2 ZCCHC14 YTHDF2 UBR5 RBM5 BRCA1 ZCCHC2 NOL7 GNL3L CREBBP AKAP11 TUT4 DCAF13 RNF25 HNRNPA1 PWP1 GPBP1 UTP11 SECISBP2 RXRB BMS1 DNAJA1 LARP6 AKAP13 RNASET2 NDEL1 MARF1 GPATCH8 ATAD2 RBM19 POC1B MACO1 UBL5 EDRF1 APOBEC3B SRRM2 KPNA2 CRNKL1 SETDB1 PUM1 KDM3B GTPBP4 STAT3 SSX2IP MFAP1 KIF20B ESRP2 APLP2 PAWR ANP32E FXR1 TRAPPC3 TRAFD1 IFT74 DYNLL1 ANKHD1 PHF3 LSM1 KEAP1 EIF4E2 BLM TRAPPC5 RBM47 IK H1-0 CSNK1A1 SECISBP2L SLU7 RRBP1 RPS19BP1 RBM4B OFD1 CNOT6 PPP2R1B CASC3 APC UBC UTP18 SPECC1L RPL6 PPP1R10 CEP192 SMG7 RC3H2 POLR2B HELZ2 GPBP1L1 RPL26 ZNF106 TNKS SPAG5 SON GRB2 TUT1 STAU2 SMARCA1 PRRC2B LARP4 EIF3E CNOT4 ZC3H14 WDR46 TRRAP PTPN13 NIFK G3BP1 SMU1 PUM2 EIF1 EHMT1 DDX27 ZCCHC17 RPL18 RC3H1 BYSL R3HDM1 NOSIP EIF3A CPSF3 CCDC115 ADD1 WRN SQSTM1 ARID2 AKAP9 XAB2 TUT7 TTC17 RPS6KA3 GIGYF1 EIF3K EGLN1 CNOT6L CEP350 BUB1B TBK1 PARP14 GIGYF2 DDX3X CNOT11 WDR33 TNRC6B RNASEL G3BP2 EMC2 EIF4ENIF1 DDX10 TRIM56 RIF1 MKI67 LSM14A GKAP1 EIF3C DHX36 CEP152 CDK1 ATP6V1F TRAPPC1 SUZ12 CTTNBP2NL YTHDF3 RPRD2 RBM34 RAD21 PIK3C2A NOL9 CNOT1 CBFB RBM28 POLR3E HERC2 CNOT2 CBX3 SEC23B SCAF8 NIPBL EIF5B C2CD3 MRPS2 GATAD2B EIF3H YBX3 RPL13A RAVER1 PAN3 MEX3C ANKRD17 ATXN2 SPATS2L SETD2 SAMD4A RSBN1L RRP12 PPHLN1 NUFIP2 N4BP2 CNOT9 BRIX1 ARMC6 PQBP1 PPP1R12A PAK4 NOM1 LUZP1 DHX33 DDX6 WBP2 RBMS2 PARG GTF3C1 ENDOV CEP78 CEP131 URB1 SRGAP2 SMG6 GTF3C3 DIMT1 DDX31 CDC5L WAPL TRAPPC9 TDRD3 STRBP SMC3 SCAPER NCAPD3 LAS1L KIF1B FAM193A TBC1D23 TAF6 PRRC2C OASL KIAA1671 HELZ GCA FTSJ3
